justice,transcript_id,source,legalbench,count,proportion
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,Criticism,4,0.2857142857142857
"Samuel A. Alito, Jr.",2024.23-191 -t01,GPT-4,Implications,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-191 -t01,LLaMA-3.1,Background,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-191 -t01,LLaMA-3.1,Clarification,5,0.4166666666666667
"Samuel A. Alito, Jr.",2024.23-191 -t01,LLaMA-3.1,Criticism,3,0.25
"Samuel A. Alito, Jr.",2024.23-191 -t01,LLaMA-3.1,Implications,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-217-t01,Actual,Clarification,1,0.5
"Samuel A. Alito, Jr.",2024.23-217-t01,Actual,Criticism,1,0.5
"Samuel A. Alito, Jr.",2024.23-217-t01,GPT-4,Background,3,0.2727272727272727
"Samuel A. Alito, Jr.",2024.23-217-t01,GPT-4,Clarification,5,0.45454545454545453
"Samuel A. Alito, Jr.",2024.23-217-t01,GPT-4,Criticism,1,0.09090909090909091
"Samuel A. Alito, Jr.",2024.23-217-t01,GPT-4,Implications,2,0.18181818181818182
"Samuel A. Alito, Jr.",2024.23-217-t01,LLaMA-3.1,Background,1,0.08333333333333333
"Samuel A. Alito, Jr.",2024.23-217-t01,LLaMA-3.1,Clarification,3,0.25
"Samuel A. Alito, Jr.",2024.23-217-t01,LLaMA-3.1,Criticism,7,0.5833333333333334
"Samuel A. Alito, Jr.",2024.23-217-t01,LLaMA-3.1,Implications,1,0.08333333333333333
"Samuel A. Alito, Jr.",2024.23-365 -t01,Actual,Clarification,1,0.25
"Samuel A. Alito, Jr.",2024.23-365 -t01,Actual,Criticism,2,0.5
"Samuel A. Alito, Jr.",2024.23-365 -t01,Actual,Implications,1,0.25
"Samuel A. Alito, Jr.",2024.23-365 -t01,GPT-4,Background,4,0.23529411764705882
"Samuel A. Alito, Jr.",2024.23-365 -t01,GPT-4,Clarification,8,0.47058823529411764
"Samuel A. Alito, Jr.",2024.23-365 -t01,GPT-4,Criticism,1,0.058823529411764705
"Samuel A. Alito, Jr.",2024.23-365 -t01,GPT-4,Implications,4,0.23529411764705882
"Samuel A. Alito, Jr.",2024.23-365 -t01,LLaMA-3.1,Background,2,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-365 -t01,LLaMA-3.1,Clarification,5,0.35714285714285715
"Samuel A. Alito, Jr.",2024.23-365 -t01,LLaMA-3.1,Criticism,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-365 -t01,LLaMA-3.1,Implications,4,0.2857142857142857
"Samuel A. Alito, Jr.",2024.23-583 -t01,Actual,Criticism,1,1.0
"Samuel A. Alito, Jr.",2024.23-583 -t01,GPT-4,Background,3,0.2
"Samuel A. Alito, Jr.",2024.23-583 -t01,GPT-4,Clarification,4,0.26666666666666666
"Samuel A. Alito, Jr.",2024.23-583 -t01,GPT-4,Criticism,5,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-583 -t01,GPT-4,Implications,3,0.2
"Samuel A. Alito, Jr.",2024.23-583 -t01,LLaMA-3.1,Clarification,6,0.4
"Samuel A. Alito, Jr.",2024.23-583 -t01,LLaMA-3.1,Criticism,8,0.5333333333333333
"Samuel A. Alito, Jr.",2024.23-583 -t01,LLaMA-3.1,Implications,1,0.06666666666666667
"Samuel A. Alito, Jr.",2024.23-621-t01,Actual,Clarification,1,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-621-t01,Actual,Criticism,1,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-621-t01,Actual,Implications,1,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-621-t01,GPT-4,Background,2,0.15384615384615385
"Samuel A. Alito, Jr.",2024.23-621-t01,GPT-4,Clarification,4,0.3076923076923077
"Samuel A. Alito, Jr.",2024.23-621-t01,GPT-4,Criticism,2,0.15384615384615385
"Samuel A. Alito, Jr.",2024.23-621-t01,GPT-4,Implications,5,0.38461538461538464
"Samuel A. Alito, Jr.",2024.23-621-t01,LLaMA-3.1,Background,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.23-621-t01,LLaMA-3.1,Clarification,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-621-t01,LLaMA-3.1,Criticism,5,0.35714285714285715
"Samuel A. Alito, Jr.",2024.23-621-t01,LLaMA-3.1,Implications,5,0.35714285714285715
"Samuel A. Alito, Jr.",2024.23-677-t01,Actual,Background,1,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-677-t01,Actual,Clarification,2,0.2857142857142857
"Samuel A. Alito, Jr.",2024.23-677-t01,Actual,Criticism,3,0.42857142857142855
"Samuel A. Alito, Jr.",2024.23-677-t01,Actual,Implications,1,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-677-t01,GPT-4,Background,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-677-t01,GPT-4,Clarification,6,0.42857142857142855
"Samuel A. Alito, Jr.",2024.23-677-t01,GPT-4,Criticism,2,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-677-t01,GPT-4,Implications,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-677-t01,LLaMA-3.1,Clarification,6,0.5
"Samuel A. Alito, Jr.",2024.23-677-t01,LLaMA-3.1,Criticism,3,0.25
"Samuel A. Alito, Jr.",2024.23-677-t01,LLaMA-3.1,Implications,3,0.25
"Samuel A. Alito, Jr.",2024.23-713-t01,Actual,Clarification,4,1.0
"Samuel A. Alito, Jr.",2024.23-713-t01,GPT-4,Background,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-713-t01,GPT-4,Clarification,6,0.42857142857142855
"Samuel A. Alito, Jr.",2024.23-713-t01,GPT-4,Criticism,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.23-713-t01,GPT-4,Implications,4,0.2857142857142857
"Samuel A. Alito, Jr.",2024.23-713-t01,LLaMA-3.1,Background,1,0.07692307692307693
"Samuel A. Alito, Jr.",2024.23-713-t01,LLaMA-3.1,Clarification,2,0.15384615384615385
"Samuel A. Alito, Jr.",2024.23-713-t01,LLaMA-3.1,Criticism,8,0.6153846153846154
"Samuel A. Alito, Jr.",2024.23-713-t01,LLaMA-3.1,Implications,2,0.15384615384615385
"Samuel A. Alito, Jr.",2024.23-715-t01,Actual,Criticism,1,1.0
"Samuel A. Alito, Jr.",2024.23-715-t01,GPT-4,Background,5,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-715-t01,GPT-4,Clarification,4,0.26666666666666666
"Samuel A. Alito, Jr.",2024.23-715-t01,GPT-4,Criticism,1,0.06666666666666667
"Samuel A. Alito, Jr.",2024.23-715-t01,GPT-4,Implications,5,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-715-t01,LLaMA-3.1,Background,2,0.16666666666666666
"Samuel A. Alito, Jr.",2024.23-715-t01,LLaMA-3.1,Clarification,3,0.25
"Samuel A. Alito, Jr.",2024.23-715-t01,LLaMA-3.1,Criticism,3,0.25
"Samuel A. Alito, Jr.",2024.23-715-t01,LLaMA-3.1,Implications,4,0.3333333333333333
"Samuel A. Alito, Jr.",2024.23-753-t01,Actual,Clarification,2,0.4
"Samuel A. Alito, Jr.",2024.23-753-t01,Actual,Criticism,2,0.4
"Samuel A. Alito, Jr.",2024.23-753-t01,Actual,Implications,1,0.2
"Samuel A. Alito, Jr.",2024.23-753-t01,GPT-4,Background,8,0.5
"Samuel A. Alito, Jr.",2024.23-753-t01,GPT-4,Clarification,6,0.375
"Samuel A. Alito, Jr.",2024.23-753-t01,GPT-4,Criticism,1,0.0625
"Samuel A. Alito, Jr.",2024.23-753-t01,GPT-4,Implications,1,0.0625
"Samuel A. Alito, Jr.",2024.23-753-t01,LLaMA-3.1,Background,2,0.15384615384615385
"Samuel A. Alito, Jr.",2024.23-753-t01,LLaMA-3.1,Clarification,6,0.46153846153846156
"Samuel A. Alito, Jr.",2024.23-753-t01,LLaMA-3.1,Criticism,1,0.07692307692307693
"Samuel A. Alito, Jr.",2024.23-753-t01,LLaMA-3.1,Implications,4,0.3076923076923077
"Samuel A. Alito, Jr.",2024.23-852-t01,Actual,Background,2,0.2222222222222222
"Samuel A. Alito, Jr.",2024.23-852-t01,Actual,Clarification,7,0.7777777777777778
"Samuel A. Alito, Jr.",2024.23-852-t01,GPT-4,Background,8,0.5
"Samuel A. Alito, Jr.",2024.23-852-t01,GPT-4,Clarification,2,0.125
"Samuel A. Alito, Jr.",2024.23-852-t01,GPT-4,Criticism,2,0.125
"Samuel A. Alito, Jr.",2024.23-852-t01,GPT-4,Implications,4,0.25
"Samuel A. Alito, Jr.",2024.23-852-t01,LLaMA-3.1,Background,2,0.14285714285714285
"Samuel A. Alito, Jr.",2024.23-852-t01,LLaMA-3.1,Clarification,3,0.21428571428571427
"Samuel A. Alito, Jr.",2024.23-852-t01,LLaMA-3.1,Criticism,8,0.5714285714285714
"Samuel A. Alito, Jr.",2024.23-852-t01,LLaMA-3.1,Implications,1,0.07142857142857142
"Samuel A. Alito, Jr.",2024.23-980-t01,Actual,Clarification,4,0.5714285714285714
"Samuel A. Alito, Jr.",2024.23-980-t01,Actual,Implications,3,0.42857142857142855
"Samuel A. Alito, Jr.",2024.23-980-t01,GPT-4,Background,4,0.25
"Samuel A. Alito, Jr.",2024.23-980-t01,GPT-4,Clarification,7,0.4375
"Samuel A. Alito, Jr.",2024.23-980-t01,GPT-4,Criticism,1,0.0625
"Samuel A. Alito, Jr.",2024.23-980-t01,GPT-4,Implications,4,0.25
"Samuel A. Alito, Jr.",2024.23-980-t01,LLaMA-3.1,Background,1,0.07692307692307693
"Samuel A. Alito, Jr.",2024.23-980-t01,LLaMA-3.1,Clarification,5,0.38461538461538464
"Samuel A. Alito, Jr.",2024.23-980-t01,LLaMA-3.1,Criticism,3,0.23076923076923078
"Samuel A. Alito, Jr.",2024.23-980-t01,LLaMA-3.1,Implications,4,0.3076923076923077
Sonia Sotomayor,2024.22-7466-t01,Actual,Background,2,0.10526315789473684
Sonia Sotomayor,2024.22-7466-t01,Actual,Clarification,13,0.6842105263157895
Sonia Sotomayor,2024.22-7466-t01,Actual,Criticism,2,0.10526315789473684
Sonia Sotomayor,2024.22-7466-t01,Actual,Implications,2,0.10526315789473684
Sonia Sotomayor,2024.22-7466-t01,GPT-4,Background,6,0.46153846153846156
Sonia Sotomayor,2024.22-7466-t01,GPT-4,Clarification,4,0.3076923076923077
Sonia Sotomayor,2024.22-7466-t01,GPT-4,Criticism,1,0.07692307692307693
Sonia Sotomayor,2024.22-7466-t01,GPT-4,Implications,2,0.15384615384615385
Sonia Sotomayor,2024.22-7466-t01,LLaMA-3.1,Background,1,0.08333333333333333
Sonia Sotomayor,2024.22-7466-t01,LLaMA-3.1,Clarification,4,0.3333333333333333
Sonia Sotomayor,2024.22-7466-t01,LLaMA-3.1,Criticism,3,0.25
Sonia Sotomayor,2024.22-7466-t01,LLaMA-3.1,Implications,4,0.3333333333333333
Sonia Sotomayor,2024.23-1127-t01,Actual,Background,2,0.4
Sonia Sotomayor,2024.23-1127-t01,Actual,Clarification,3,0.6
Sonia Sotomayor,2024.23-1127-t01,GPT-4,Background,1,0.0625
Sonia Sotomayor,2024.23-1127-t01,GPT-4,Clarification,8,0.5
Sonia Sotomayor,2024.23-1127-t01,GPT-4,Criticism,2,0.125
Sonia Sotomayor,2024.23-1127-t01,GPT-4,Implications,5,0.3125
Sonia Sotomayor,2024.23-1127-t01,LLaMA-3.1,Clarification,5,0.4166666666666667
Sonia Sotomayor,2024.23-1127-t01,LLaMA-3.1,Criticism,5,0.4166666666666667
Sonia Sotomayor,2024.23-1127-t01,LLaMA-3.1,Implications,2,0.16666666666666666
Sonia Sotomayor,2024.23-191 -t01,Actual,Clarification,6,0.75
Sonia Sotomayor,2024.23-191 -t01,Actual,Criticism,1,0.125
Sonia Sotomayor,2024.23-191 -t01,Actual,Implications,1,0.125
Sonia Sotomayor,2024.23-191 -t01,GPT-4,Background,2,0.14285714285714285
Sonia Sotomayor,2024.23-191 -t01,GPT-4,Clarification,7,0.5
Sonia Sotomayor,2024.23-191 -t01,GPT-4,Criticism,1,0.07142857142857142
Sonia Sotomayor,2024.23-191 -t01,GPT-4,Implications,4,0.2857142857142857
Sonia Sotomayor,2024.23-191 -t01,LLaMA-3.1,Background,1,0.07692307692307693
Sonia Sotomayor,2024.23-191 -t01,LLaMA-3.1,Clarification,5,0.38461538461538464
Sonia Sotomayor,2024.23-191 -t01,LLaMA-3.1,Criticism,2,0.15384615384615385
Sonia Sotomayor,2024.23-191 -t01,LLaMA-3.1,Implications,5,0.38461538461538464
Sonia Sotomayor,2024.23-217-t01,Actual,Criticism,1,0.5
Sonia Sotomayor,2024.23-217-t01,Actual,Implications,1,0.5
Sonia Sotomayor,2024.23-217-t01,GPT-4,Background,4,0.3076923076923077
Sonia Sotomayor,2024.23-217-t01,GPT-4,Clarification,5,0.38461538461538464
Sonia Sotomayor,2024.23-217-t01,GPT-4,Criticism,1,0.07692307692307693
Sonia Sotomayor,2024.23-217-t01,GPT-4,Implications,3,0.23076923076923078
Sonia Sotomayor,2024.23-217-t01,LLaMA-3.1,Clarification,3,0.23076923076923078
Sonia Sotomayor,2024.23-217-t01,LLaMA-3.1,Criticism,5,0.38461538461538464
Sonia Sotomayor,2024.23-217-t01,LLaMA-3.1,Implications,5,0.38461538461538464
Sonia Sotomayor,2024.23-365 -t01,GPT-4,Background,1,0.06666666666666667
Sonia Sotomayor,2024.23-365 -t01,GPT-4,Clarification,8,0.5333333333333333
Sonia Sotomayor,2024.23-365 -t01,GPT-4,Criticism,2,0.13333333333333333
Sonia Sotomayor,2024.23-365 -t01,GPT-4,Implications,4,0.26666666666666666
Sonia Sotomayor,2024.23-365 -t01,LLaMA-3.1,Background,1,0.07692307692307693
Sonia Sotomayor,2024.23-365 -t01,LLaMA-3.1,Clarification,6,0.46153846153846156
Sonia Sotomayor,2024.23-365 -t01,LLaMA-3.1,Criticism,2,0.15384615384615385
Sonia Sotomayor,2024.23-365 -t01,LLaMA-3.1,Implications,4,0.3076923076923077
Sonia Sotomayor,2024.23-583 -t01,Actual,Clarification,1,0.5
Sonia Sotomayor,2024.23-583 -t01,Actual,Criticism,1,0.5
Sonia Sotomayor,2024.23-583 -t01,GPT-4,Background,6,0.4
Sonia Sotomayor,2024.23-583 -t01,GPT-4,Clarification,6,0.4
Sonia Sotomayor,2024.23-583 -t01,GPT-4,Implications,3,0.2
Sonia Sotomayor,2024.23-583 -t01,LLaMA-3.1,Criticism,5,0.38461538461538464
Sonia Sotomayor,2024.23-583 -t01,LLaMA-3.1,Implications,8,0.6153846153846154
Sonia Sotomayor,2024.23-621-t01,Actual,Clarification,1,0.5
Sonia Sotomayor,2024.23-621-t01,Actual,Criticism,1,0.5
Sonia Sotomayor,2024.23-621-t01,GPT-4,Background,2,0.16666666666666666
Sonia Sotomayor,2024.23-621-t01,GPT-4,Clarification,4,0.3333333333333333
Sonia Sotomayor,2024.23-621-t01,GPT-4,Criticism,1,0.08333333333333333
Sonia Sotomayor,2024.23-621-t01,GPT-4,Implications,5,0.4166666666666667
Sonia Sotomayor,2024.23-621-t01,LLaMA-3.1,Clarification,2,0.16666666666666666
Sonia Sotomayor,2024.23-621-t01,LLaMA-3.1,Criticism,5,0.4166666666666667
Sonia Sotomayor,2024.23-621-t01,LLaMA-3.1,Implications,5,0.4166666666666667
Sonia Sotomayor,2024.23-677-t01,Actual,Background,1,0.2
Sonia Sotomayor,2024.23-677-t01,Actual,Clarification,1,0.2
Sonia Sotomayor,2024.23-677-t01,Actual,Criticism,2,0.4
Sonia Sotomayor,2024.23-677-t01,Actual,Implications,1,0.2
Sonia Sotomayor,2024.23-677-t01,GPT-4,Background,2,0.125
Sonia Sotomayor,2024.23-677-t01,GPT-4,Clarification,10,0.625
Sonia Sotomayor,2024.23-677-t01,GPT-4,Criticism,3,0.1875
Sonia Sotomayor,2024.23-677-t01,GPT-4,Implications,1,0.0625
Sonia Sotomayor,2024.23-677-t01,LLaMA-3.1,Clarification,4,0.3076923076923077
Sonia Sotomayor,2024.23-677-t01,LLaMA-3.1,Criticism,7,0.5384615384615384
Sonia Sotomayor,2024.23-677-t01,LLaMA-3.1,Implications,2,0.15384615384615385
Sonia Sotomayor,2024.23-713-t01,Actual,Clarification,3,0.42857142857142855
Sonia Sotomayor,2024.23-713-t01,Actual,Criticism,2,0.2857142857142857
Sonia Sotomayor,2024.23-713-t01,Actual,Implications,2,0.2857142857142857
Sonia Sotomayor,2024.23-713-t01,GPT-4,Background,5,0.35714285714285715
Sonia Sotomayor,2024.23-713-t01,GPT-4,Clarification,6,0.42857142857142855
Sonia Sotomayor,2024.23-713-t01,GPT-4,Criticism,1,0.07142857142857142
Sonia Sotomayor,2024.23-713-t01,GPT-4,Implications,2,0.14285714285714285
Sonia Sotomayor,2024.23-713-t01,LLaMA-3.1,Background,2,0.14285714285714285
Sonia Sotomayor,2024.23-713-t01,LLaMA-3.1,Clarification,4,0.2857142857142857
Sonia Sotomayor,2024.23-713-t01,LLaMA-3.1,Criticism,5,0.35714285714285715
Sonia Sotomayor,2024.23-713-t01,LLaMA-3.1,Implications,3,0.21428571428571427
Sonia Sotomayor,2024.23-715-t01,Actual,Clarification,2,0.6666666666666666
Sonia Sotomayor,2024.23-715-t01,Actual,Criticism,1,0.3333333333333333
Sonia Sotomayor,2024.23-715-t01,GPT-4,Background,3,0.2
Sonia Sotomayor,2024.23-715-t01,GPT-4,Clarification,5,0.3333333333333333
Sonia Sotomayor,2024.23-715-t01,GPT-4,Criticism,1,0.06666666666666667
Sonia Sotomayor,2024.23-715-t01,GPT-4,Implications,6,0.4
Sonia Sotomayor,2024.23-715-t01,LLaMA-3.1,Background,1,0.08333333333333333
Sonia Sotomayor,2024.23-715-t01,LLaMA-3.1,Clarification,4,0.3333333333333333
Sonia Sotomayor,2024.23-715-t01,LLaMA-3.1,Criticism,4,0.3333333333333333
Sonia Sotomayor,2024.23-715-t01,LLaMA-3.1,Implications,3,0.25
Sonia Sotomayor,2024.23-753-t01,Actual,Background,1,0.125
Sonia Sotomayor,2024.23-753-t01,Actual,Clarification,4,0.5
Sonia Sotomayor,2024.23-753-t01,Actual,Criticism,1,0.125
Sonia Sotomayor,2024.23-753-t01,Actual,Implications,2,0.25
Sonia Sotomayor,2024.23-753-t01,GPT-4,Background,3,0.2
Sonia Sotomayor,2024.23-753-t01,GPT-4,Clarification,9,0.6
Sonia Sotomayor,2024.23-753-t01,GPT-4,Criticism,1,0.06666666666666667
Sonia Sotomayor,2024.23-753-t01,GPT-4,Implications,2,0.13333333333333333
Sonia Sotomayor,2024.23-753-t01,LLaMA-3.1,Background,1,0.07142857142857142
Sonia Sotomayor,2024.23-753-t01,LLaMA-3.1,Clarification,3,0.21428571428571427
Sonia Sotomayor,2024.23-753-t01,LLaMA-3.1,Criticism,4,0.2857142857142857
Sonia Sotomayor,2024.23-753-t01,LLaMA-3.1,Implications,6,0.42857142857142855
Sonia Sotomayor,2024.23-852-t01,Actual,Background,2,0.2222222222222222
Sonia Sotomayor,2024.23-852-t01,Actual,Clarification,6,0.6666666666666666
Sonia Sotomayor,2024.23-852-t01,Actual,Criticism,1,0.1111111111111111
Sonia Sotomayor,2024.23-852-t01,GPT-4,Background,6,0.42857142857142855
Sonia Sotomayor,2024.23-852-t01,GPT-4,Clarification,3,0.21428571428571427
Sonia Sotomayor,2024.23-852-t01,GPT-4,Criticism,2,0.14285714285714285
Sonia Sotomayor,2024.23-852-t01,GPT-4,Implications,3,0.21428571428571427
Sonia Sotomayor,2024.23-852-t01,LLaMA-3.1,Background,2,0.15384615384615385
Sonia Sotomayor,2024.23-852-t01,LLaMA-3.1,Clarification,1,0.07692307692307693
Sonia Sotomayor,2024.23-852-t01,LLaMA-3.1,Criticism,4,0.3076923076923077
Sonia Sotomayor,2024.23-852-t01,LLaMA-3.1,Implications,6,0.46153846153846156
Sonia Sotomayor,2024.23-980-t01,Actual,Background,1,0.3333333333333333
Sonia Sotomayor,2024.23-980-t01,Actual,Criticism,2,0.6666666666666666
Sonia Sotomayor,2024.23-980-t01,GPT-4,Background,4,0.25
Sonia Sotomayor,2024.23-980-t01,GPT-4,Clarification,10,0.625
Sonia Sotomayor,2024.23-980-t01,GPT-4,Implications,2,0.125
Sonia Sotomayor,2024.23-980-t01,LLaMA-3.1,Background,1,0.07142857142857142
Sonia Sotomayor,2024.23-980-t01,LLaMA-3.1,Clarification,5,0.35714285714285715
Sonia Sotomayor,2024.23-980-t01,LLaMA-3.1,Criticism,5,0.35714285714285715
Sonia Sotomayor,2024.23-980-t01,LLaMA-3.1,Implications,3,0.21428571428571427
